TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_UF_PROVA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
3;F;0;3;1;1;1;1;1;0;33;RJ;435.7;666.5;623.6;630.8;880
2;F;0;1;1;1;1;1;1;0;35;SP;366.7;507.4;493.8;469.5;380
13;M;0;1;1;1;12;1;;0;29;BA;544.5;628;502.7;555.4;520
12;M;1;1;1;1;12;1;;0;35;SP;535.9;625.5;625.8;554.4;540
3;F;0;1;1;1;1;1;1;0;32;ES;585.6;619.6;573.9;484.9;880
5;M;0;1;1;1;3;1;1;0;24;RN;558;693.5;602.1;670.5;940
11;F;;1;1;1;11;1;1;0;26;PE;451;628.6;546.3;594.6;620
14;F;0;3;1;1;12;1;1;0;28;SE;;;;;
4;M;0;3;1;1;1;1;;0;35;SP;553.9;639.8;550.9;725.1;660
3;F;0;2;1;2;0;2;1;0;43;RS;398;586.4;609.8;510.2;720
6;F;;3;1;1;2;1;;0;22;PI;;;;;
13;F;;1;1;1;1;1;3;0;33;RJ;481.8;631.3;524.1;417.4;440
10;M;0;2;1;1;6;1;1;0;31;MG;;;;;
5;M;0;1;1;1;0;1;;0;26;PE;375.1;471.3;465.8;454.9;0
2;F;0;1;1;2;0;4;1;0;27;AL;534.5;460;472.8;452.7;460
5;F;0;1;1;1;2;1;;0;43;RS;;;;;
6;M;0;3;1;1;1;1;1;0;15;PA;406.8;527.9;534;503.6;540
7;F;0;1;1;1;3;1;1;0;43;RS;396.7;463.1;394.6;481.4;360
2;F;0;1;1;3;0;1;;1;32;ES;;;;;
11;F;0;2;1;1;10;1;1;0;24;RN;;;;;
3;M;0;2;1;2;0;2;1;0;23;CE;537.3;506.1;565.6;591.3;620
9;M;0;2;1;1;6;1;3;0;31;MG;;;;;
2;M;0;1;2;2;0;2;1;0;12;AC;393.2;575.2;508.7;639.9;640
11;F;1;2;1;1;9;1;1;0;35;SP;;;;;
7;M;0;2;1;1;3;1;1;0;25;PB;468.5;612.5;470.4;481.5;580
11;M;0;3;1;1;6;1;1;0;29;BA;;;;;
4;F;;1;1;2;0;2;1;0;43;RS;449.3;553.1;534.9;443.1;460
11;F;0;1;1;1;11;1;1;0;26;PE;513.8;605.6;556.5;487.5;800
1;F;0;3;1;3;0;1;;1;29;BA;429.9;497.7;563.2;573;560
3;F;0;1;1;2;0;2;1;0;32;ES;589.6;616.6;561.1;617.9;540
3;M;0;3;1;1;1;1;;0;15;PA;459.1;644.7;605.7;751.8;880
3;F;0;2;1;1;1;1;;0;35;SP;422.6;496.8;456.6;469.9;340
7;F;0;1;1;1;3;1;3;0;43;RS;421.6;493.7;483.2;388;320
1;M;0;3;1;3;0;1;;1;15;PA;502.6;593.7;537.1;417.8;440
3;F;0;4;1;1;1;1;;0;35;SP;651.8;640.4;565.3;701;840
7;F;0;3;1;1;5;1;1;0;29;BA;417.6;544.2;514.3;522.9;260
2;F;0;3;1;2;0;2;1;0;35;SP;536.4;677.9;678.6;689.9;800
4;F;0;1;1;1;1;1;1;0;31;MG;;;;;
11;F;0;2;1;1;8;1;1;0;53;DF;;;;;
6;F;0;2;1;1;3;1;;0;31;MG;651;691.4;603.5;674.1;940
2;F;;4;1;2;0;2;1;0;24;RN;490.6;587.4;526;509.8;600
2;F;0;3;1;2;0;2;1;0;51;MT;525.2;455.1;412.7;515.1;800
3;F;0;2;1;1;1;1;1;0;31;MG;530.8;645.2;694.5;593.5;420
9;M;0;2;1;1;4;1;1;0;29;BA;413.8;489.7;467.5;390;480
2;F;0;1;1;3;0;1;;1;41;PR;;;;;
11;F;;3;1;1;11;1;;0;23;CE;542.4;644.9;473.4;538.9;840
2;M;0;1;1;2;0;2;1;0;43;RS;;;;;
2;F;0;3;1;2;0;2;1;0;22;PI;580.8;612.3;533.8;487.9;700
4;F;0;1;2;1;1;1;1;0;42;SC;430.2;483.2;463;522.4;360
13;F;1;3;1;1;12;1;1;0;32;ES;;609.8;515.7;;580
3;F;0;3;1;3;0;1;;0;26;PE;516.1;580.5;402.1;536.9;360
2;M;0;3;1;2;0;2;1;0;23;CE;;;;;
13;M;1;3;1;1;12;1;;0;23;CE;;;;;
12;F;1;3;1;1;12;1;1;0;23;CE;492.4;614.3;622.9;510.9;600
10;F;0;3;1;1;6;1;3;0;50;MS;;;;;
6;M;0;3;1;1;4;1;1;0;33;RJ;;;;;
4;F;0;2;1;2;0;4;1;0;35;SP;581.8;609;580;625.8;740
9;F;1;3;1;1;2;1;3;0;35;SP;546.3;556.2;524.9;473.3;340
6;F;0;3;1;1;3;1;1;0;26;PE;437.7;467.1;471.1;401.7;360
5;M;0;1;1;1;1;1;1;0;24;RN;516.4;519;486;509.1;340
12;M;2;2;1;1;0;1;;0;22;PI;513.3;629.3;514.9;450.8;440
2;F;0;3;1;2;0;2;1;0;31;MG;504.9;559.9;561.5;624.4;660
2;F;0;3;1;2;0;2;1;0;29;BA;544.9;647.4;543.5;589.3;840
6;M;0;3;1;1;4;1;1;0;31;MG;418.4;628.4;571;481.3;320
5;F;0;1;1;1;2;1;;0;32;ES;556.4;606.2;531.9;481.1;680
5;M;0;1;1;1;1;1;1;0;26;PE;391.8;562.5;504.3;436.3;560
3;F;0;1;1;1;1;1;1;0;11;RO;418.2;595.5;527.5;506.5;640
6;F;0;2;1;1;3;1;1;0;26;PE;478.4;644.5;590.9;559.9;540
5;F;;1;1;1;1;1;1;0;22;PI;;600.8;456.6;;200
4;F;0;3;1;1;2;1;1;0;26;PE;583.4;642.3;563.2;544.2;580
13;F;1;3;1;1;12;1;1;0;31;MG;593.3;648.8;617.1;602.2;460
3;M;0;1;1;2;0;2;1;0;32;ES;404.9;568.7;539.4;456.8;340
11;F;1;3;1;1;11;1;1;0;13;AM;;522.8;433.6;;340
4;F;0;3;1;1;2;1;1;0;13;AM;604.9;657.3;532.7;520.3;680
3;M;0;1;1;2;0;2;1;0;41;PR;563;574.9;465.9;587.8;420
15;F;2;1;1;1;12;1;1;0;35;SP;559.9;646.1;559.7;657.4;340
5;F;0;3;1;1;2;1;1;0;21;MA;;596.3;537.2;;620
11;M;0;1;1;1;9;1;1;0;29;BA;;;;;
8;F;0;3;1;1;6;1;1;0;31;MG;;;;;
10;F;0;3;1;1;1;1;;0;27;AL;431.4;579.5;428.5;465.8;360
4;M;0;1;1;2;0;2;1;0;15;PA;407.2;514.2;498.7;388.5;560
2;F;;0;1;3;0;1;;1;29;BA;399.4;421.7;442;519.8;0
2;F;0;3;2;2;0;1;3;0;21;MA;398.7;452;433.4;473.8;360
3;M;0;2;1;2;0;2;1;0;35;SP;482.1;647.2;605;678;640
8;M;0;3;1;1;5;1;1;0;23;CE;445.9;661.2;565.9;672.3;660
11;M;1;1;1;1;9;1;1;0;29;BA;633;657.4;640.3;554.8;640
11;F;0;2;1;1;9;1;1;0;29;BA;414.1;560.4;474.6;467.2;360
14;F;1;1;1;1;12;1;1;0;35;SP;604.4;648.7;610.5;564.4;620
1;F;0;3;1;3;0;1;;1;17;TO;420.3;494.2;521.3;487.5;260
5;F;0;2;1;1;2;1;1;0;53;DF;527.2;604.6;542.9;593.9;340
13;F;;3;1;1;12;1;1;0;35;SP;406.9;611.6;486;616.5;340
8;M;0;1;1;1;3;1;3;0;43;RS;581.7;655.8;607.7;422.5;460
4;F;0;1;1;1;2;1;;0;33;RJ;575.7;701.7;658.4;643.2;640
9;F;0;1;1;1;7;1;;0;35;SP;584;641.3;560.5;500.4;580
3;F;0;3;1;1;2;1;1;0;43;RS;500.8;629.7;551.2;537.7;600
11;M;0;3;1;1;5;1;1;0;29;BA;;;;;
7;M;0;1;1;1;5;1;;0;25;PB;721.3;724.2;667.7;851.4;800
7;F;0;3;1;1;4;1;1;0;35;SP;455.4;589.3;526.9;486.5;340
3;F;0;3;1;2;0;4;1;0;35;SP;655.7;711.5;645.6;716.5;920
4;F;0;4;2;1;1;1;1;0;21;MA;;;;;
6;F;0;1;1;1;3;1;;0;35;SP;554.3;634.6;634.5;602.5;880
5;F;0;1;1;1;2;1;1;0;33;RJ;535.2;671.5;603.6;619.5;840
9;F;1;3;1;1;7;1;;0;15;PA;;550.8;524.3;;600
12;M;1;2;1;1;12;1;1;0;51;MT;;;;;
3;F;0;0;1;1;1;1;1;0;35;SP;;;;;
13;F;1;3;1;1;12;1;1;0;23;CE;464.2;464.8;380.6;416.5;320
4;M;0;2;1;2;0;1;1;0;22;PI;446;610.5;503;542.6;560
6;F;0;2;1;1;4;1;1;0;29;BA;572.6;553;575.1;494.5;640
11;F;1;3;1;4;0;1;;0;31;MG;456;590.1;483.7;460.3;640
